GEOID,2010 Total Population,2010 White Population,2010 African American Population,2010 Asian Population,2010 Other Races Population,2010 Hispanic Population,2010 Total Households,2010 Occupied Households,2010 Vacant Households,2000 Total Population,2000 White Population,2000 African American Population,2000 Asian Population,2000 Other Races Population,2000 Total Housing Units,2000 Occupied Housing Units,2000 Vacant Housing Units,2000 Hispanic Population
3.9041E+11,1277,1209,25,5,38,18,576,539,37,1381,1316,30,8,27,573,547,26,9
3.9041E+11,1721,1613,50,19,39,32,822,724,98,1716,1638,17,16,45,799,735,64,35
3.9041E+11,2258,1896,156,129,77,63,449,397,52,2579,2305,157,66,51,447,414,33,42
3.9041E+11,859,819,19,1,20,16,414,373,41,800,777,5,2,16,340,320,20,2
3.9041E+11,1002,953,18,3,28,24,454,423,31,1085,1038,13,1,33,443,425,18,13
3.9041E+11,2692,2446,127,30,89,82,951,932,19,1180,1137,23,9,11,524,439,85,17
3.9041E+11,927,834,43,1,49,33,369,345,24,898,838,18,4,38,391,346,45,7
3.9041E+11,556,549,0,0,7,5,261,249,12,534,518,3,3,10,261,256,5,5
3.9041E+11,2370,2181,87,17,85,59,918,868,50,2113,2000,57,22,34,803,776,27,22
3.9041E+11,2182,2059,66,2,55,44,1117,970,147,1203,1154,21,7,21,512,477,35,4
3.9041E+11,2374,2157,101,45,71,38,933,885,48,163,156,1,1,5,61,60,1,1
3.9041E+11,772,717,26,7,22,6,358,340,18,742,701,9,13,19,349,339,10,6
3.9041E+11,2556,2379,96,19,62,51,1026,995,31,2325,2141,82,32,70,937,890,47,28
3.9041E+11,229,217,3,2,7,3,107,98,9,218,211,0,0,7,102,98,4,4
3.9041E+11,2742,2509,103,27,103,46,1080,1019,61,2321,2147,89,16,69,911,885,26,17
3.9041E+11,2244,2053,80,31,80,53,952,906,46,373,360,13,0,0,117,117,0,1
3.9041E+11,1601,1396,131,4,70,59,658,626,32,1708,1526,128,2,52,657,626,31,18
3.9041E+11,1616,1269,204,7,136,115,759,708,51,1518,1207,240,13,58,700,656,44,36
3.9041E+11,1190,1178,8,1,3,12,445,431,14,968,936,11,11,10,352,337,15,4
3.9041E+11,1707,1667,6,3,31,26,703,643,60,1585,1538,18,1,28,640,596,44,13
3.9041E+11,2485,2411,5,19,50,35,935,906,29,2008,1965,8,10,25,728,704,24,13
3.9041E+11,2432,2380,16,8,28,25,897,868,29,2104,2079,6,2,17,727,705,22,7
3.9041E+11,2395,2270,33,8,84,39,1077,1006,71,2134,2068,39,5,22,1018,919,99,9
3.9041E+11,881,853,11,6,11,7,344,333,11,846,833,4,0,9,319,308,11,2
3.9041E+11,1108,1004,34,46,24,11,451,420,31,1000,959,23,9,9,391,373,18,15
3.9041E+11,1793,1667,27,58,41,12,707,664,43,1947,1854,23,51,19,698,675,23,7
3.9041E+11,2859,2500,152,156,51,43,968,911,57,2085,1868,166,24,27,650,619,31,29
3.9041E+11,1658,1543,15,76,24,33,565,532,33,1203,1170,1,23,9,362,349,13,16
3.9041E+11,1285,1168,29,60,28,20,512,487,25,115,115,0,0,0,46,45,1,1
