Distance (miles),Date,Magnitude,Start Lat/Log,End Lat/Log,Length,Width,Fatalities,Injuries,Property Damage,Crop Damage,Affected County
5.2,5/10/1973,3,39°55'N / 83°15'W,39°55'N / 82°48'W,23.80 Miles,300 Yards,0,3,3K,0,Franklin
5.5,2/22/1971,3,39°58'N / 82°56'W,40°02'N / 82°50'W,6.80 Miles,100 Yards,0,7,2.5M,0,Franklin
8.3,5/30/1973,2,40°03'N / 83°07'W,,2.00 Miles,17 Yards,0,1,2.5M,0,Franklin
9.8,4/2/1970,2,40°07'N / 82°55'W,,2.00 Miles,440 Yards,0,0,250K,0,Franklin
11.4,5/25/1973,2,40°03'N / 83°11'W,,,,0,0,250K,0,Franklin
12.6,4/3/1974,2,40°05'N / 82°51'W,40°08'N / 82°46'W,5.10 Miles,90 Yards,0,0,250K,0,Franklin
12.6,10/11/2006,2,40°05'N / 82°47'W,40°05'N / 82°47'W,1.00 Mile,150 Yards,0,0,50.0M,0K,Franklin
,,"Brief Description: EVENT NARRATIVE: A tornado touched down and moved through the Upper Albany West subdivision. Sixty-seven homes were damaged, sixteen of those severely and an additional eight completely destroyed. Many of the homes sustained significant roof, siding and window damage. Much of the damage was F1, with some low end F2 damage to around 120 mph. EPISODE NARRATIVE: A squall line moved through central Ohio during the evening. Two tornadoes occurred in the Columbus metro area as the squall line moved through.",,,,,,,,,
13.1,5/8/1973,2,40°06'N / 83°07'W,40°15'N / 82°51'W,17.30 Miles,67 Yards,0,0,250K,0,Franklin
14.1,10/11/2006,2,39°48'N / 83°06'W,,1.00 Mile,50 Yards,0,0,60K,0K,Pickaway
,,"Brief Description: EVENT NARRATIVE: A tornado briefly touched down in extreme northwest Pickaway County. The damage path extended along a short length of Carson Road, just west of Interstate 71. A barn made of wood and cinder blocks was completely destroyed, with the cinder blocks being carried 200 to 300 yards away. Several pieces of wood were strewn onto neighboring properties, with some pieces impaled into the ground or asphalt. A few homes had significant roof damage and windows blown out. Large trees were snapped or uprooted along the damage path. The damage was mainly F1, with some isolated pockets of low end F2 damage up to 120 mph. EPISODE NARRATIVE: A squall line moved through central Ohio during the evening. Two tornadoes occurred in the Columbus metro area as the squall line moved through.",,,,,,,,,
14.3,5/16/1971,2,39°50'N / 82°48'W,,,,0,0,3K,0,Fairfield
15.2,9/20/2000,2,40°08'N / 82°50'W,40°11'N / 82°47'W,5.00 Miles,100 Yards,0,2,1.0M,0,Delaware
,,"Brief Description: A tornado touched down in the southeastern part of the county, along Harlem road and then raced rapidly eastward to the Licking county line. Two high tension power line towers were bent over and 14 houses were either damaged or destroyed.",,,,,,,,,
15.7,6/5/1963,2,39°46'N / 83°04'W,,,,0,0,25K,0,Pickaway
18.3,5/10/1973,3,39°55'N / 82°48'W,39°55'N / 82°30'W,15.80 Miles,300 Yards,0,0,3K,0,Fairfield
21,3/10/1986,2,39°43'N / 83°12'W,39°45'N / 83°13'W,3.00 Miles,100 Yards,0,10,2.5M,0,Pickaway
21.6,5/10/1973,3,39°55'N / 83°31'W,39°55'N / 83°15'W,14.10 Miles,300 Yards,0,0,3K,0,Madison
22.7,9/3/1970,3,39°39'N / 82°58'W,39°40'N / 82°55'W,2.30 Miles,100 Yards,0,1,25K,0,Pickaway
23,3/10/1986,2,39°43'N / 83°16'W,39°43'N / 83°13'W,3.00 Miles,100 Yards,0,0,2.5M,0,Madison
24.7,4/3/1974,2,39°50'N / 83°34'W,39°56'N / 83°18'W,15.70 Miles,180 Yards,0,0,250K,0,Clark
25.9,9/20/2000,2,40°11'N / 82°44'W,40°16'N / 82°29'W,16.00 Miles,100 Yards,0,0,1.0M,100K,Licking
,,"Brief Description: A tornado tracked out of Delaware county across the northwestern part of the county and then continued into Knox county. The storm lifted briefly in spots but maintained a 25 mile track across the three counties, mainly in rural areas. Eleven homes received major damage and 4 received minor damage. Several barns and outbuildings were also destroyed. Twelve buildings at the Buckeye Egg Company were destroyed, trapping one million chickens inside.",,,,,,,,,
26,10/13/1999,3,39°36'N / 82°59'W,39°37'N / 82°57'W,3.50 Miles,440 Yards,0,6,4.0M,0,Pickaway
