Distance (miles),Date,Magnitude,Start Lat/Log,End Lat/Log,Length,Width,Fatalities,Injuries,Property Damage,Crop Damage,Affected County
4.9,8/10/1980,2,30°15'N / 97°39'W,30°18'N / 97°43'W,5.40 Miles,150 Yards,0,4,250.0M,0,Travis
5.8,3/31/1957,2,30°23'N / 97°43'W,,0.50 Mile,100 Yards,0,0,250K,0,Travis
6.1,5/10/1959,3,30°17'N / 97°43'W,30°25'N / 97°37'W,11.00 Miles,667 Yards,0,0,250K,0,Travis
10,1/20/1973,2,30°21'N / 97°55'W,,0.10 Mile,40 Yards,0,0,25K,0,Travis
12.9,7/4/1970,2,30°26'N / 97°55'W,,1.50 Miles,47 Yards,1,4,0K,0,Travis
13.4,5/27/1997,2,30°28'N / 97°56'W,30°26'N / 97°53'W,3.60 Miles,100 Yards,0,0,50K,10K,Travis
,,"Brief Description: The Cedar Park tornado formed around 3:05 pm CST from a different supercell thunderstorm. It first touched down about 3.5 miles north of Cedar Park at a location 0.6 miles south of CR 178 and 1.4 miles east of the intersection of US 183 and CR 178. The initial damage was to trees, however, the ground survey revealed damage nearby to a church and a trucking company. The aerial survey did not reflect this damage as being in line with the damage path. It is quite possible this damage was caused by strong wind near the tornado. The beginning point was in a relatively open area with damage primarily to a few trees and minor shingle damage to one house. The tornado moved south-southwestward skirting a residential area before it crossed CR 180 immediately east of US 183. A historic train located on the north side of CR 180 just to the east of US 183 was in the direct path of the tornado. While the engine remained on the track, a coal tender converted to hold diesel fuel and weighing approximately 65,000 pounds including the 1,000 gallons of diesel fuel was flipped over and thrown a short distance. Continuing across CR180, it entered a shopping center where it weakened and pushed inward slightly the north wall of a grocery store. It also pushed large metal doors inward that were built to open toward the outside. Damage at this point had been generally F2 with brief F3 as the tornado knocked the train tender off the track and damaged the wall and doors of the food store. It tore off much of a weakly supported roof of a grocery store. The manager of the store, who had been a victim of the Wichita Falls Tornado of 1979, saw the approaching tornado, and made an announcement to all in the store to meet him in the middle of the store. He then led everyone he could gather into the meat locker. This very quick and decisive action probably saved several lives. The tornado crossed US 183 causing additional damage to a number of businesses. One business on the west side of US 183 lost nearly the entire roof. Most damage to other businesses was believed to be minor. After crossing US 183 the tornado moved across Marquis Lane and North Park Circle moving through an area with widely scattered housing and a relative abundance of trees. Again, most damage to structures in this area was minor. From North Park Circle the tornado moved into the northwestern portion of Buttercup Creek, a subdivision of well constructed homes. Damage to homes was irregular with one house losing a roof but the house next door losing only shingles. Two homes in the area were nearly destroyed an one damaged when a pickup truck was lifted and tossed against its front wall. Eleven homes were destroyed, with damage reported to over 100 homes. The damage level ranged from F0 to F2. At this point, the tornado track was taking a gentle right turn as the tornado track became more southwesterly. The tornado moved into a wooded area crossing into Travis County before ending 1.1 miles from Lake Travis. Damage in the wooded area was irregular ranging from near total destruction of all trees to sections with about 10 percent of the trees down.",,,,,,,,,
13.8,4/14/1977,2,30°16'N / 98°00'W,30°34'N / 97°54'W,21.60 Miles,200 Yards,0,0,250K,0,Travis
14.7,4/7/1980,3,30°31'N / 97°42'W,30°29'N / 97°36'W,6.50 Miles,100 Yards,1,2,250K,0,Williamson
14.8,5/27/1997,4,30°22'N / 98°01'W,30°20'N / 97°59'W,5.60 Miles,440 Yards,1,5,15.0M,0K,Travis
