X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE
-82.993131047335709,40.136690003187049,5819659,1188758,8453 SANCUS BLVD,Average Joe's,Retail - Restaurant,Restaurant DB,Yes,No,,{B1DE99B0-A63B-4BFA-97BF-2334A1AF71FB},,,,
-82.914372200891094,39.956986718391938,5819660,622176,3140 E MAIN ST,BP ,Retail - Gas Station,,Yes,No,,{1E31003A-1497-4EFA-844F-416AF997758D},,,,
-83.124059675270587,39.985603399698931,5819661,1236996,1571 WESTBELT DR,S P AIR USA,Industrial - Warehouse,,Yes,No,,{49CB02A1-FC22-47D1-AD30-94CEF45E20C1},,,,
-83.018109562701895,40.038869574511587,5819662,466396,3763 N HIGH ST,Bluestone Counseling,Medical - Other,,Yes,No,,{DA7DC26E-536B-4802-8364-A3A01306C80F},,,,
-83.065937016503298,40.117992889355577,5819663,872651,1874 HARD RD,Solar Nail Spa,Retail - Services,,Yes,No,,{8BE1054B-DBA5-45CF-A467-1B8A7FA8EA1A},,,,
-82.972305717891345,39.933335412568233,5819664,1100595,860 E JENKINS AVE,Select Seating Group,Office - Corporate,,Yes,No,,{184CB228-CE0C-4057-882F-B30AD433EB36},,,,
-83.041152005232505,39.991639127831597,5819665,1256136,1631 NORTHWEST BLVD,Walcott & Associates ,Office - Corporate,,Yes,No,,{772B6F28-8785-454B-A3BF-CAA4CBA841B3},,,,
-83.049184225268789,39.991426757040365,5819666,488670,1577 KING AVE,Bonifacio,Retail - Restaurant,Restaurant DB,Yes,No,,{42F13EC2-8C6C-41FE-928F-1BD2EAB0CCC3},,,,
-83.015043172066655,39.955806276022543,5819667,707454,566 W RICH ST,Franklinton Playhouse,Public Places - Theater/Concert Hall,,Yes,No,,{A5EACADC-D225-46CF-A226-6461303F9B93},,,,
-82.982054054110648,39.918262911180427,5819668,219543,485 STAMBAUGH AVE,Apostolic Holy Temple,Public Places - House of Worship,,Yes,No,,{F587C164-7E22-4CAF-9746-2F747050798B},,,,
-82.988119605872882,39.92637008280186,5819669,1197519,274 1/2 E INNIS AVE,Tara Hall Social Clubs,Public Places - Other,,Yes,No,,{E557DED4-8022-4D6D-9D9B-A6184B7EDABA},,,,
-82.986028512639052,40.116544015820352,5819670,848318,7486 RELIANCE ST,Real Music Records,Retail - Commercial/Retail,,Yes,No,,{40EBBD0B-D3D3-4D39-8AD1-126270EE33F3},,,,
-83.036528094279731,39.950362239963908,5819671,1269133,1401 SULLIVANT AVE,Marathon Food Center,Retail - Restaurant,Restaurant DB,Yes,No,,{DE19C0F2-4C3B-4966-B9B2-8FA4FD10375E},,,,
-82.96229811125697,40.011406908389269,5819672,1063337,2143 N JOYCE AVE,Cornerstone Pentecostal Church,Public Places - House of Worship,,Yes,No,,{987EE413-5DA9-46B1-AAE7-4032001FFD4F},,,,
-83.075799469797715,40.058140841664894,5819673,810743,2142 W HENDERSON RD,Neighbors Deli,Retail - Restaurant,,Yes,No,,{B97D5ACB-A318-4679-9838-869BD1AE620E},,,,
-83.05084894026254,39.988923594051329,5819674,1236897,1665 W 5TH AVE,Ohio Craft Museum,Public Places - Museum,,Yes,No,,{2F02F6D5-4974-4AD8-8FA0-2915759D4741},,,,
-83.00103016775256,40.119396290468984,5819675,446872,600 WORTHINGTON WOODS BLVD,The Barrington School,Education - Daycare,"ODJFS 2170014212
",Yes,No,,{889BCFCA-CCA8-4746-89D0-31076137EB83},,,,
-82.9454142256685,40.101909110802367,5819676,685818,2675 CORPORATE EXCHANGE DR,Cass Logistics ,Office - Corporate,,Yes,No,,{752EEB1E-5606-430D-901C-75FAB54B7C3F},,,,
-82.999602348522302,40.045310165923716,5819677,680381,3966 INDIANOLA AVE,Funtrail Vehicle Accessories,Retail - Commercial/Retail,,Yes,No,,{F6887880-CE60-4E95-99DB-62FCBA3D53C9},,,,
-82.953828509628934,39.957096696944326,5819678,605771,1701 E MAIN ST,Lebbie's Auto Sales ,Retail - Commercial/Retail,,Yes,No,,{7B5DF3F3-1B88-458F-AAC5-2157518D1699},,,,
-82.914220444602407,40.04971812844326,5819679,1251476,4025 EASTON STATION,Piada Italian Street Food,Retail - Restaurant,,Yes,No,,{E5F7DDDE-1167-43E2-A772-AEDC5F94F4D1},,,,
-82.87733288884111,39.945650386458766,5819680,1180764,1432 S HAMILTON RD,Boost Mobile ,Retail - Commercial/Retail,,Yes,No,,{CBDA7D5A-65D1-49C0-B818-115699CB06B2},,,,
-82.877841193685626,39.948161393619891,5819681,402640,1343 S HAMILTON RD,Holiday Care Center,Education - Daycare,"ODJFS 400487
",Yes,No,,{F476DBA1-5E26-4E3C-8721-E248CF9865AD},,,,
-82.949954598150654,39.957660653063925,5819682,543897,1848 E MAIN ST,Beverage Warehouse ,Retail - Commercial/Retail,,Yes,No,,{E40BA166-EF81-47EA-AD90-757A62A0300B},,,,
