OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
455,South Central Accord,1997-07-21T00:00:00.000Z,Excavation/Quarrying,Other,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
456,South Central Accord,1997-07-21T00:00:00.000Z,High-Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
457,South Central Accord,1997-07-21T00:00:00.000Z,Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
458,South Central Accord,1997-07-21T00:00:00.000Z,Light Industrial,Industrial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
459,South Central Accord,1997-07-21T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
460,South Central Accord,1997-07-21T00:00:00.000Z,Low-Density Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
462,South Central Accord,1997-07-21T00:00:00.000Z,Mixed Use Village,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
3039,Downtown Design Guidelines,2013-07-15T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,Yes,http://www.columbus.gov/planning/documentlibrary/,2015-12-21T00:00:00.000Z,,
441,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Open Space,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
442,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Parks,Parks/Open Space,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
443,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Commercial,Commercial,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
445,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Multi-family (12-16 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
446,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Mixed Use Regional,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
447,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Office,Office,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
448,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Institutional,Institutional,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
449,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Mixed Use Community Commercial,Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
450,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Farm/Rural,Agriculture,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
451,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single-Family (6-8 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
452,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single-Family (1-2 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
453,Scioto Southland Plan,2007-10-22T00:00:00.000Z,Single Family (4-6 du/acre),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
