Latitude (X),Longitude (Y)
40.057068,-82.885518
39.974166,-83.02872
39.963572,-83.0025
39.975215,-83.00678
40.0739666,-83.131485
39.9724236,-82.9048996
39.928299,-83.0899811
40.0209885,-83.0614395
39.954532,-82.877042
39.888206,-82.8859
40.051822,-83.047551
40.0601832,-82.9055273
40.048983,-82.913168
40.0060397,-83.014194
39.99315193,-83.01584422
39.99424172,-83.00544492
39.9977639,-83.032384
39.997845,-83.032384
39.970589,-83.002668
39.9666831,-83.0158002
39.972066,-82.905333
39.985017,-82.870525
40.04982,-82.914545
40.057195,-82.927865
39.97558,-83.003724
39.926479,-83.123901
39.9942396,-82.943837
39.9946491,-82.9421928
39.9793196,-83.0029305
40.088908,-83.000372
39.9941778,-83.0055583
40.031768,-83.032414
39.9931378,-83.0158984
40.0058403,-83.0160423
40.063194,-83.054932
39.98122,-82.817535
40.068484,-82.862195
40.05975,-82.91222
40.150612,-82.967172
39.95449,-83.00586
39.9956321,-83.0421423
39.99795532,-83.0329361
39.9599476,-83.0554579
39.9585291,-83.0556027
39.9797357,-82.9939129
39.9560394,-83.0111688
39.9557168,-83.0115799
39.9980338,-82.8867096
39.9680633,-83.0006576
39.986704,-83.01318
39.988922,-83.026234
40.002828,-82.928085
40.023874,-83.025295
40.031897,-83.031483
39.964111,-82.999849
40.048975,-82.912969
39.970589,-83.002668
39.979068,-83.145646
40.079039,-83.039489
39.852042,-83.002332
40.115975,-83.014386
40.141163,-82.967011
40.148309,-82.974916
39.959201,-82.995093
39.9672855,-83.0064462
40.1140606,-83.0139838
39.9620246,-82.9948761
39.9605659,-83.0084243
39.9614604,-83.0139999
39.9614361,-83.0138284
40.0491942,-82.9208276
40.0333736,-83.0167605
39.9496036,-82.9977249
40.0520828,-83.0672009
39.98876,-83.0477211
39.974211,-83.00104
40.0065682,-83.0511932
39.9418022,-82.8308417
40.0323669,-83.0006125
40.11536995,-83.41327914
39.94124875,-83.70954311
39.7636027,-83.37856674
40.22843586,-83.61337968
39.75780228,-83.36732952
39.89688164,-83.01817452
40.07223924,-83.2036622
39.77862663,-83.38863534
39.88006595,-83.62593166
39.99644291,-83.72152348
39.89187679,-83.66199159
40.13452618,-82.97433895
39.85101569,-83.38102143
39.83294943,-83.26533137
39.84849871,-83.09166429
40.29987864,-83.12246123
40.11162544,-83.09351354
39.90610247,-83.19047277
40.29650237,-83.1296615
39.95102602,-82.86570934
39.93413355,-83.04209032
39.89643307,-83.45332101
40.18980073,-83.38586889
40.17415711,-83.04267538
39.8440923,-83.58474253
39.81668317,-83.2707202
40.1199174,-82.95845309
40.31153998,-83.20778506
39.82216938,-83.59032876
39.93132908,-82.92204045
39.98656957,-83.66622349
39.63347313,-83.20504957
39.65326517,-83.21093814
39.74299133,-83.04432872
39.97066301,-82.89023265
39.9859246,-83.18879485
39.97892183,-83.55506215
40.00764411,-83.73571256
40.12162159,-83.06889496
39.8600999,-83.40992919
39.81437187,-83.1468352
39.97645367,-83.43784081
39.65754691,-83.1715165
39.6402323,-83.1249773
40.07371054,-83.71556917
40.03309781,-83.09781037
39.92711388,-82.90876068
40.00550504,-82.94909369
39.66808166,-83.24980906
39.85433363,-83.26235649
39.98559302,-83.34172176
39.98782694,-83.62244091
39.80179947,-83.40691165
40.0886671,-83.20149717
40.14333499,-83.26634354
39.90115803,-83.00574478
39.92660272,-83.63328187
39.97709214,-82.85831475
40.16567485,-83.14196987
40.07364749,-83.09542615
39.82245185,-83.15513116
40.21598311,-83.50459065
40.17513911,-83.56673498
39.80274297,-83.20948704
40.1496143,-82.90428877
39.87115496,-83.53053015
39.86852578,-82.98183063
40.03010899,-83.48031136
40.13357779,-83.15580099
40.32754326,-83.38192813
40.04926357,-83.5640224
40.30510536,-83.2719617
39.72738762,-83.08029686
40.12017715,-83.16658192
40.14430902,-82.99821289
39.99373832,-83.28816294
40.22842944,-83.38875036
40.17965091,-83.34980095
39.90226901,-83.61517943
