Latitude (X),Longitude (Y)
40.11536995,-83.41327914
39.94124875,-83.70954311
39.7636027,-83.37856674
40.22843586,-83.61337968
39.75780228,-83.36732952
39.89688164,-83.01817452
40.07223924,-83.2036622
39.77862663,-83.38863534
39.88006595,-83.62593166
39.99644291,-83.72152348
39.89187679,-83.66199159
40.13452618,-82.97433895
39.85101569,-83.38102143
39.83294943,-83.26533137
39.84849871,-83.09166429
40.29987864,-83.12246123
40.11162544,-83.09351354
39.90610247,-83.19047277
40.29650237,-83.1296615
39.95102602,-82.86570934
39.93413355,-83.04209032
39.89643307,-83.45332101
40.18980073,-83.38586889
40.17415711,-83.04267538
39.8440923,-83.58474253
39.81668317,-83.2707202
40.1199174,-82.95845309
40.31153998,-83.20778506
39.82216938,-83.59032876
39.93132908,-82.92204045
39.98656957,-83.66622349
39.63347313,-83.20504957
39.65326517,-83.21093814
39.74299133,-83.04432872
39.97066301,-82.89023265
39.9859246,-83.18879485
39.97892183,-83.55506215
40.00764411,-83.73571256
40.12162159,-83.06889496
39.8600999,-83.40992919
39.81437187,-83.1468352
39.97645367,-83.43784081
39.65754691,-83.1715165
39.6402323,-83.1249773
40.07371054,-83.71556917
40.03309781,-83.09781037
39.92711388,-82.90876068
40.00550504,-82.94909369
39.66808166,-83.24980906
39.85433363,-83.26235649
39.98559302,-83.34172176
39.98782694,-83.62244091
39.80179947,-83.40691165
40.0886671,-83.20149717
40.14333499,-83.26634354
39.90115803,-83.00574478
39.92660272,-83.63328187
39.97709214,-82.85831475
40.16567485,-83.14196987
40.07364749,-83.09542615
39.82245185,-83.15513116
40.21598311,-83.50459065
40.17513911,-83.56673498
39.80274297,-83.20948704
40.1496143,-82.90428877
39.87115496,-83.53053015
39.86852578,-82.98183063
40.03010899,-83.48031136
40.13357779,-83.15580099
40.32754326,-83.38192813
40.04926357,-83.5640224
40.30510536,-83.2719617
39.72738762,-83.08029686
40.12017715,-83.16658192
40.14430902,-82.99821289
39.99373832,-83.28816294
40.22842944,-83.38875036
40.17965091,-83.34980095
39.90226901,-83.61517943
