Fuel Type Code	Station Name	Street Address	Intersection Directions	City	State	ZIP	Plus4	Station Phone	Status Code	Expected Date	Groups With Access Code	Access Days Time	Cards Accepted	BD Blends	NG Fill Type Code	NG PSI	EV Level1 EVSE Num	EV Level2 EVSE Num	EV DC Fast Count	EV Other Info	EV Network	EV Network Web	Geocode Status	Latitude	Longitude	Date Last Confirmed	ID	Updated At	Owner Type Code	Federal Agency ID	Federal Agency Name	Open Date	Hydrogen Status Link	NG Vehicle Class	LPG Primary	E85 Blender Pump	EV Connector Types	Country	Intersection Directions (French)	Access Days Time (French)	BD Blends (French)	Groups With Access Code (French)	Hydrogen Is Retail	Access Code	Access Detail Code	Federal Agency Code
LPG	McMahan's Bottle Gas	3551 Intercity Dr	At Harshman Rd and Valley St	Dayton	OH	45424		937-233-0831	E		Public	8am-6pm M-Sat	Cash D Debit M V										200-9	39.801785	-84.119562	6/5/18	13839	2019-01-17 00:33:46 UTC	P						TRUE			US				Public		public		
LPG	U-Haul	15173 Brookpark Rd	At W-150	Brook Park	OH	44142		216-676-4770	E		Public	"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun"	A Cash D M V										200-9	41.417989	-81.802748	3/8/18	19752	2019-01-17 00:33:46 UTC	P			1/2/18			TRUE			US				Public		public		
LPG	U-Haul	802 W Columbia St	West of Downtown	Springfield	OH	45504		937-324-7453	E		Public	"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun"	A Cash D M V										200-9	39.926878	-83.824835	3/8/18	19781	2019-01-17 00:33:46 UTC	P						TRUE			US				Public		public		
LPG	Reliance Propane & Fuel Oil	6025 Secor Rd	2 blocks north of Alexis Rd	Toledo	OH	43613		419-473-1021	E		Public	"8am-6pm M-Sat, 11am-3pm Sun"	A Cash Checks D M V										200-9	41.724918	-83.624536	3/7/19	26420	2019-03-07 18:17:18 UTC	P						TRUE			US				Public		public		
BD	Luckey Farmers Inc	3940 Fremont Pike		Perrysburg	OH	43551		419-849-2711	E		Public - Credit card at all times	24 hours daily; Also accepts LFI fuel cards	A D M V	B20									200-9	41.495757	-83.471574	3/8/18	27814	2019-01-17 00:33:46 UTC	P			1/15/06						US				Public - Carte de crédit en tout temps		public	CREDIT_CARD_ALWAYS	
E85	Marathon Pit Stop	304 W River St		Antwerp	OH	45813		419-258-1628	E		Public	5am-11:30pm daily	A Cash D M V Voyager Wright_Exp										200-9	41.180833	-84.742983	3/8/18	28659	2019-01-17 00:33:46 UTC	P			12/15/05				FALSE		US				Public		public		
E85	Marathon	202 W South St		St. Marys	OH	45885		419-778-7319	E		Public	"6am-10pm Sun-Th, 7am-11pm F-Sat"	A Cash D M V Voyager Wright_Exp										200-9	40.541745	-84.389351	1/10/19	28661	2019-01-17 00:33:46 UTC	P			1/15/06				FALSE		US				Public		public		
E85	Sunoco	6027 State Route 95	Exit 151 off I-71.	Mt Gilead	OH	43338		419-768-2672	E		Public	"6am-11pm M-F, 7am-11pm Sat, 7am-10pm Sun"	A Cash D M V Voyager Wright_Exp										200-9	40.49813	-82.71999	3/8/18	30025	2019-01-17 00:33:46 UTC	P			9/15/06				FALSE		US				Public		public		
E85	Speedway #8017	2631 W Alex Bell Rd		Moraine	OH	45459		937-299-3256	E		Public	24 hours daily	A Cash D M V Voyager Wright_Exp										200-9	39.672497	-84.213817	3/7/19	30257	2019-03-07 18:17:18 UTC	P			9/15/06				FALSE		US				Public		public		
E85	Heritage Co-op	304 Bloomfield Ave		Urbana	OH	43078		937-652-2135  800-424-2584	E		Public - Credit card after hours	7:30am-4:30pm M-F	A Cash D M V Voyager Wright_Exp										200-9	40.119762	-83.746956	12/11/18	30393	2019-01-17 00:33:46 UTC	P			10/15/06				FALSE		US				Public - Carte de crédit après les heures d'ouverture		public	CREDIT_CARD_AFTER_HOURS	
E85	Kroger Fuel Center #853	7000 E Broad St		Columbus	OH	43213		614-575-3742	E		Public	6am-11pm daily	A Cash D M V Voyager										200-9	39.984302	-82.81658	3/7/19	30448	2019-03-07 18:17:18 UTC	P			7/15/06				FALSE		US				Public		public		
