Latitude (X),Longitude (Y),POI_TYPE,Pop_Den,Cam_Present,Tornado Distance,Tornado Magnitude,Classification (Output)
40.057068,-82.885518,2,5597.148387,0,12.6,2,1
39.974166,-83.02872,2,1595.315173,1,5.5,3,1
39.963572,-83.0025,1,2293.418377,1,5.5,3,1
39.975215,-83.00678,2,8978.701876,1,5.5,3,1
40.0739666,-83.131485,2,3753.776372,0,13.1,2,1
39.9724236,-82.9048996,2,5786.394916,1,5.5,3,1
39.928299,-83.0899811,2,3089.3342,1,5.2,3,1
40.0209885,-83.0614395,0,3286.357958,0,13.1,2,1
39.954532,-82.877042,2,4466.053029,1,5.5,3,1
39.888206,-82.8859,2,2479.687276,0,18.3,3,1
40.051822,-83.047551,2,8743.921438,0,13.1,2,1
40.0601832,-82.9055273,2,2667.680378,0,12.6,2,1
40.048983,-82.913168,2,402.0772352,1,12.6,2,1
40.0060397,-83.014194,2,15838.07342,1,5.5,3,1
39.99315193,-83.01584422,2,15668.045,1,5.5,3,1
39.99424172,-83.00544492,2,19315.49341,1,5.5,3,1
39.9977639,-83.032384,0,768.9581518,1,0,0,1
39.997845,-83.032384,0,768.9581518,1,0,0,1
39.970589,-83.002668,2,2293.418377,1,5.5,3,1
39.9666831,-83.0158002,2,3667.444627,1,5.5,3,1
39.972066,-82.905333,2,5786.394916,1,5.5,3,1
39.985017,-82.870525,2,905.7285847,0,5.5,3,1
40.04982,-82.914545,2,402.0772352,1,12.6,2,1
40.057195,-82.927865,2,6425.167231,1,0,0,1
39.97558,-83.003724,2,8978.701876,1,5.5,3,1
39.926479,-83.123901,2,821.1626119,0,5.2,3,1
39.9942396,-82.943837,2,856.8790462,1,5.5,3,1
39.9946491,-82.9421928,1,856.8790462,1,5.5,3,1
39.9793196,-83.0029305,2,6861.420709,1,5.5,3,1
40.088908,-83.000372,2,1099.410207,0,13.1,2,1
39.9941778,-83.0055583,2,19315.49341,1,5.5,3,1
40.031768,-83.032414,0,1299.524667,0,13.1,2,1
39.9931378,-83.0158984,2,15668.045,1,5.5,3,1
40.0058403,-83.0160423,1,15838.07342,1,5.5,3,1
40.063194,-83.054932,2,4786.55961,0,13.1,2,1
39.98122,-82.817535,2,3434.677573,0,5.5,3,1
40.068484,-82.862195,2,2103.316412,0,12.6,2,1
40.05975,-82.91222,2,2667.680378,1,12.6,2,1
40.150612,-82.967172,2,853.2654701,0,0,0,1
39.95449,-83.00586,2,3254.651663,1,5.5,3,1
39.9956321,-83.0421423,2,5667.54932,1,0,0,1
39.99795532,-83.0329361,0,768.9581518,1,0,0,1
39.9599476,-83.0554579,1,1805.207265,1,0,0,1
39.9585291,-83.0556027,1,1805.207265,1,0,0,1
39.9797357,-82.9939129,0,1182.986113,1,5.5,3,1
39.9560394,-83.0111688,2,3036.073647,1,5.5,3,1
39.9557168,-83.0115799,2,3036.073647,1,5.5,3,1
39.9980338,-82.8867096,2,0.4616334485,0,5.5,3,1
39.9680633,-83.0006576,1,2293.418377,1,5.5,3,1
39.986704,-83.01318,2,4432.371223,1,5.5,3,1
39.988922,-83.026234,2,5753.375858,1,5.5,3,1
40.002828,-82.928085,2,1098.695953,1,5.5,3,1
40.023874,-83.025295,2,3341.876971,1,0,0,1
40.031897,-83.031483,0,1299.524667,0,13.1,2,1
39.964111,-82.999849,2,2293.418377,1,5.5,3,1
40.048975,-82.912969,2,402.0772352,1,12.6,2,1
39.970589,-83.002668,2,2293.418377,1,5.5,3,1
39.979068,-83.145646,2,562.4918638,0,5.2,3,1
40.079039,-83.039489,2,1545.715976,0,13.1,2,1
39.852042,-83.002332,2,102.0994399,0,0,0,1
40.115975,-83.014386,2,2072.700331,0,13.1,2,1
40.141163,-82.967011,2,853.2654701,0,0,0,1
40.148309,-82.974916,2,1503.609419,0,0,0,1
39.959201,-82.995093,2,3254.651663,1,5.5,3,1
39.9672855,-83.0064462,2,2293.418377,1,5.5,3,1
40.1140606,-83.0139838,2,2072.700331,0,13.1,2,1
39.9620246,-82.9948761,2,3254.651663,1,5.5,3,1
39.9605659,-83.0084243,2,3036.073647,1,5.5,3,1
39.9614604,-83.0139999,2,3036.073647,1,5.5,3,1
39.9614361,-83.0138284,2,3036.073647,1,5.5,3,1
40.0491942,-82.9208276,2,402.0772352,1,0,0,1
40.0333736,-83.0167605,2,6802.039787,1,0,0,1
39.9496036,-82.9977249,2,6883.547922,1,5.5,3,1
40.0520828,-83.0672009,2,4289.93268,0,13.1,2,1
39.98876,-83.0477211,2,6397.737516,1,0,0,1
39.974211,-83.00104,1,1182.986113,1,5.5,3,1
40.0065682,-83.0511932,2,6188.964341,1,13.1,2,1
39.9418022,-82.8308417,2,3049.654649,0,18.3,3,1
40.0323669,-83.0006125,2,5323.827326,1,5.5,3,1
