Device,Trip,StartTime,Endtime,UTCTime,TripStart,TodTripStart
"2,004",4,"40,400","146,650","1,538,687,845,356","43,377.89","43,377.72"
"2,004",8,"60,950","147,800","1,538,740,293,400","43,378.49","43,378.33"
"2,004",11,"54,150","138,500","1,539,000,181,848","43,381.50","43,381.34"
"2,004",12,"20,450","136,050","1,539,036,877,954","43,381.93","43,381.76"
"2,004",13,"91,000","175,850","1,539,084,297,990","43,382.48","43,382.31"
"2,004",14,"19,550","126,800","1,539,121,625,616","43,382.91","43,382.74"
"2,004",17,"51,600","136,150","1,539,170,819,751","43,383.48","43,383.31"
"2,004",18,"18,500","126,100","1,539,211,788,927","43,383.95","43,383.79"
"2,004",21,"57,050","141,750","1,539,258,092,384","43,384.49","43,384.32"
"2,004",22,"18,850","124,000","1,539,298,239,609","43,384.95","43,384.79"
"2,004",26,"59,600","145,000","1,539,345,085,959","43,385.49","43,385.33"
"2,004",28,"24,100","132,200","1,539,388,391,430","43,386.00","43,385.83"
"2,004",30,"102,100","479,350","1,539,432,471,371","43,386.51","43,386.34"
"2,004",31,"94,100","496,500","1,539,523,785,749","43,387.56","43,387.40"
"2,004",32,"92,500","107,150","1,539,557,803,593","43,387.96","43,387.79"
"2,004",33,50,"7,600","1,539,561,697,141","43,388.00","43,387.83"
"2,004",35,"68,600","706,850","1,539,611,476,097","43,388.58","43,388.41"
"2,004",36,"9,300","228,550","1,539,620,344,639","43,388.68","43,388.51"
"2,004",40,"49,000","131,900","1,540,295,854,731","43,396.50","43,396.33"
"2,004",44,"22,100","126,650","1,540,335,979,652","43,396.96","43,396.80"
"2,004",46,"60,600","148,050","1,540,379,252,729","43,397.46","43,397.30"
"2,004",47,"21,850","66,550","1,540,421,231,628","43,397.95","43,397.78"
"2,004",48,"86,150","145,550","1,540,468,198,871","43,398.49","43,398.33"
"2,004",49,"21,550","130,550","1,540,504,479,940","43,398.91","43,398.75"
"2,004",52,"57,000","142,100","1,540,554,602,703","43,399.49","43,399.33"
"2,004",53,"32,850","144,550","1,540,588,951,388","43,399.89","43,399.72"
"2,004",54,"104,100","112,050","1,540,594,684,907","43,399.96","43,399.79"
"2,004",55,100,"19,600","1,540,598,240,811","43,400.00","43,399.83"
"2,004",65,"64,450","92,550","1,540,738,061,714","43,401.62","43,401.45"
"2,004",66,"76,000","105,100","1,540,739,882,289","43,401.64","43,401.47"
"2,004",71,"61,800","146,950","1,540,813,863,757","43,402.49","43,402.33"
"2,004",72,"21,750","130,850","1,540,851,661,675","43,402.93","43,402.77"
"2,004",74,"67,050","153,650","1,540,900,559,223","43,403.50","43,403.33"
"2,004",75,"27,100","131,000","1,540,935,010,345","43,403.90","43,403.73"
"2,004",80,"51,950","135,400","1,540,986,873,131","43,404.50","43,404.33"
"2,004",81,"24,100","134,850","1,541,021,284,901","43,404.90","43,404.73"
"2,004",87,"59,750","147,250","1,541,073,008,638","43,405.49","43,405.33"
"2,004",88,"23,800","132,200","1,541,108,209,904","43,405.90","43,405.69"
"2,004",96,"58,600","118,000","1,541,243,804,102","43,407.47","43,407.26"
"2,004",97,"49,950","106,900","1,541,271,151,230","43,407.79","43,407.58"
"2,004",104,"61,950","144,700","1,541,422,480,520","43,409.54","43,409.33"
"2,004",105,"30,050","134,100","1,541,458,151,978","43,409.95","43,409.74"
"2,004",107,"79,750","164,400","1,541,507,456,971","43,410.52","43,410.31"
"2,004",108,"27,800","135,800","1,541,542,168,791","43,410.92","43,410.72"
"2,004",111,"67,750","152,150","1,541,593,630,725","43,411.52","43,411.31"
"2,004",112,"20,800","127,850","1,541,632,235,386","43,411.97","43,411.76"
"2,004",114,"61,400","146,300","1,541,680,618,715","43,412.53","43,412.32"
"2,004",117,"57,350","144,350","1,541,768,200,738","43,413.54","43,413.33"
"2,004",119,"24,200","133,100","1,541,802,178,688","43,413.93","43,413.72"
"2,004",121,"56,250","86,250","1,541,875,497,215","43,414.78","43,414.57"
"2,004",122,"18,100","47,250","1,541,881,454,767","43,414.85","43,414.64"
"2,004",124,"58,000","76,200","1,541,894,640,050","43,415.00","43,414.79"
