X,Y,OBJECTID,COLS_KEY,LSN,POI_NAME,POI_TYPE,POI_SOURCE,PRIMARY,ALT_GEOM,PHONE_NUM,GLOBALID,WEBSITE,OB_GYN,PEDIATRICS,PRIMARY_CARE
-83.112628569288034,40.006321057059246,5787325,626098,3750 ZANE TRACE DR,Pet Brands,Industrial - Warehouse,,Yes,Yes,,{2D626609-391A-4BB2-B33E-DEF58FD576EE},,,,
-83.059869322041095,40.052299173552825,5787326,586262,1520 OLD HENDERSON RD,The Breathing Association,Medical - Other,,No,Yes,614-457-4570,{2397A8D6-753F-4D01-A40A-E1B5E940CD92},http://www.breathingassociation.org/,,,
-82.978142244168538,40.061761557519446,5787327,811713,4661 KARL RD,Fresenius Kidney Care Central Ohio Dialysis,Medical - Other,,Yes,Yes,6148400012,{24AF2DF8-3221-43B5-A611-7768F1EB201E},,,,
-82.99407624859063,39.952412782061955,5787328,233764,500 S 4TH ST  1,Advanced Auto Insurance Network,Office - Corporate,,Yes,Yes,,{61040209-31C6-4035-B835-80DAE70BB4BC},,,,
-83.012749739142663,39.956807339573977,5787329,589438,185 MCDOWELL ST,All American Welding,Retail - Services,,Yes,Yes,,{2B36E5A7-8F4B-464D-9D49-8E053AFB321C},,,,
-82.88467999568816,39.926641078530558,5787330,1074436,4259 DONLYN CT,Express Tax,Office - Corporate,,Yes,Yes,,{B704B281-75EA-432B-A5DB-D3CE78C04D7A},,,,
-82.998256981516164,39.967867013529677,5787331,446552,121 E CHESTNUT ST,Gerber,Office - Corporate,,Yes,Yes,,{128DE77E-B028-4B9E-9431-A138D1A83838},,,,
-82.986908668557504,39.994342348816424,5787332,1049150,1461 CLARA ST,IER Industrial Electromechanical,Retail - Services,,Yes,Yes,,{F86A4799-5DA4-4D9F-9EE2-F2AC125E58AC},,,,
-82.999812459366268,39.968848665851333,5787333,486071,77 E NATIONWIDE BLVD,HER Realtors,Office - Corporate,,Yes,Yes,,{20FF2DE8-104C-45AB-AEBA-0E96D68D2CC3},,,,
-82.996963002944611,39.947074895418261,5787334,502352,21 E FRANKFORT ST,Nemeth & Associates,Office - Corporate,,Yes,Yes,,{5C698627-A44A-49E3-9715-D85CAAA811CC},,,,
-82.947756544933455,39.918256129584783,5787335,401773,2073 REFUGEE RD,Red Truck Fire & Safety,Office - Corporate,,Yes,Yes,,{3C024AB4-A680-45A2-9A3C-DB3E4730D56D},,,,
-83.06194110616012,40.05289168066821,5787336,848017,4676 LARWELL DR,Brandon Printing Service,Retail - Services,,Yes,Yes,,{3CA97DFB-3309-4BAF-B229-C02951F520AD},,,,
-83.121106694558179,39.896881013842453,5787337,998605,2695 HOLT RD,Bolton Crossing Elementary School,Education - Elementary,,Yes,Yes,,{604B91F6-4C9A-4798-BC31-4FA18732E379},,,,
